,Number of Bachelor's Degrees,Percent Financial Aid,Average Amount of Aid,Retention Rate,Enrollment,Percent Women,Percent In State,Percent Out of State,Percent Foreign,Percent Unknown,Graduation Rate,Percent Awarded,Total Staff,Instructional Staff,SA Staff,Librarian Staff,Percent Books,Percent Digital,Percent Admitted,Total Price
85,329.0,97.0,18548.0,91.0,1468,48.0,25.0,73.0,1.0,1.0,87.0,73.0,612.0,166.0,67.0,78.0,11,81,36.0,41778.0
86,473.0,98.0,34279.0,86.0,2229,51.0,37.0,58.0,4.0,1.0,78.0,72.0,613.0,224.0,29.0,45.0,36,40,57.0,72040.0
87,141.0,100.0,34726.0,78.0,676,100.0,41.0,47.0,9.0,3.0,55.0,50.0,279.0,101.0,9.0,19.0,42,36,64.0,55655.0
88,705.0,96.0,17612.0,89.0,3149,62.0,68.0,30.0,2.0,0.0,79.0,68.0,731.0,272.0,41.0,57.0,32,35,76.0,47000.0
89,247.0,99.0,20114.0,91.0,988,60.0,69.0,27.0,2.0,2.0,71.0,63.0,210.0,90.0,10.0,13.0,31,58,95.0,45626.0
91,200.0,100.0,25943.0,77.0,983,51.0,83.0,13.0,4.0,0.0,70.0,59.0,231.0,74.0,31.0,37.0,84,6,76.0,43870.0
92,389.0,100.0,31827.0,91.0,1693,52.0,78.0,19.0,3.0,0.0,79.0,75.0,475.0,158.0,33.0,38.0,50,13,59.0,61020.0
93,220.0,94.0,13253.0,69.0,1480,61.0,53.0,46.0,1.0,0.0,36.0,38.0,308.0,116.0,9.0,17.0,28,55,46.0,32136.0
94,48.0,100.0,18277.0,62.0,268,99.0,86.0,14.0,0.0,0.0,35.0,31.0,108.0,46.0,12.0,15.0,2,92,48.0,33272.0
95,316.0,100.0,33103.0,84.0,1423,57.0,63.0,31.0,5.0,0.0,79.0,72.0,402.0,136.0,18.0,22.0,21,71,70.0,60368.0
96,291.0,100.0,35051.0,91.0,1467,57.0,64.0,30.0,5.0,1.0,79.0,73.0,378.0,121.0,4.0,10.0,42,51,73.0,61531.0
97,434.0,73.0,33800.0,91.0,1730,55.0,10.0,78.0,12.0,0.0,87.0,89.0,641.0,216.0,15.0,25.0,21,57,36.0,71780.0
98,317.0,100.0,34798.0,81.0,1333,57.0,47.0,40.0,12.0,0.0,75.0,69.0,393.0,121.0,19.0,29.0,54,2,74.0,58324.0
99,615.0,57.0,44460.0,93.0,2642,52.0,18.0,74.0,8.0,0.0,87.0,85.0,874.0,270.0,25.0,41.0,38,45,29.0,71270.0
100,356.0,99.0,34421.0,83.0,1492,57.0,49.0,38.0,13.0,0.0,69.0,64.0,337.0,127.0,29.0,37.0,31,31,58.0,60980.0
101,176.0,97.0,9201.0,50.0,1232,48.0,62.0,38.0,0.0,0.0,24.0,13.0,258.0,71.0,12.0,16.0,56,31,64.0,21900.0
102,350.0,100.0,33979.0,85.0,1463,54.0,22.0,65.0,14.0,0.0,80.0,64.0,513.0,186.0,29.0,42.0,52,20,62.0,60141.0
103,520.0,95.0,30358.0,82.0,2087,61.0,10.0,86.0,4.0,0.0,75.0,75.0,698.0,287.0,54.0,73.0,48,37,74.0,66526.0
104,307.0,100.0,29144.0,79.0,1376,61.0,59.0,40.0,1.0,0.0,65.0,57.0,347.0,155.0,10.0,17.0,37,47,81.0,59007.0
105,390.0,96.0,6252.0,56.0,3164,69.0,93.0,5.0,0.0,1.0,30.0,12.0,253.0,112.0,5.0,10.0,13,69,56.0,26526.0
106,489.0,100.0,31966.0,84.0,2005,57.0,27.0,63.0,10.0,0.0,79.0,71.0,445.0,177.0,18.0,26.0,34,48,63.0,55805.0
107,255.0,100.0,35487.0,75.0,1142,53.0,53.0,41.0,7.0,0.0,67.0,59.0,304.0,97.0,8.0,15.0,47,46,66.0,56155.0
108,124.0,100.0,22736.0,71.0,655,43.0,54.0,45.0,1.0,0.0,49.0,35.0,180.0,56.0,12.0,16.0,36,31,50.0,41420.0
109,532.0,83.0,37169.0,96.0,2174,60.0,18.0,65.0,17.0,0.0,90.0,84.0,654.0,223.0,70.0,91.0,38,27,41.0,68627.0
