UnitID,Institution Name,Carnegie Classification 2018: Basic (HD2019),Number of students receiving a Bachelor's degree (DRVC2019),Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),Average amount of federal  state  local or institutional grant aid awarded (SFA1819),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Percent admitted - men (DRVADM2018_RV),Percent admitted - women (DRVADM2018_RV),Full-time retention rate  2018 (EF2018D),Undergraduate enrollment (DRVEF2018),Percent of undergraduate enrollment that are women (DRVEF2018),Percent of first-time undergraduates - in-state (DRVEF2018),Percent of first-time undergraduates - out-of-state (DRVEF2018),Percent of first-time undergraduates - foreign countries (DRVEF2018),Percent of first-time undergraduates - residence unknown (DRVEF2018),Graduation rate  total cohort (DRVGR2018_RV),Percent full-time first-time receiving an award - 4 years (DRVOM2018_RV),Total FTE staff (DRVHR2018),Instructional FTE (DRVHR2018),Student and Academic Affairs and Other Education Services FTE (DRVHR2018),Librarians  Curators  and Archivists/Student and Academic Affairs and Other Education Services FTE (DRVHR2018),Physical books as a percent of the total library collection (DRVAL2018),Digital/Electronic books as a percent of the total library collection (DRVAL2018),Databases as a percent of the total library collection (DRVAL2018),
159382,Louisiana State University-Alexandria,21,390,96,6252,26526,59,55,56,3164,69,93,5,0,1,30,12,253,112,5,10,13,69,0,
153834,Luther College,21,489,100,31966,55805,60,65,84,2005,57,27,63,10,0,79,71,445,177,18,26,34,48,0,
213668,Lycoming College,21,255,100,35487,56155,68,64,75,1142,53,53,41,7,0,67,59,304,97,8,15,47,46,0,
106342,Lyon College,21,124,100,22736,41420,50,50,71,655,43,54,45,1,0,49,35,180,56,12,16,36,31,0,
173902,Macalester College,21,532,83,37169,68627,40,42,96,2174,60,18,65,17,0,90,84,654,223,70,91,38,27,0,
182917,Magdalen College,21,22,100,22603,34756,47,35,73,83,54,29,71,0,0,69,58,18,8,4,5,83,17,0,
213783,Mansfield University of Pennsylvania,21,343,98,9014,38762,90,94,71,1597,61,86,14,0,0,46,30,336,140,0,7,86,1,0,
230940,Marlboro College,21,27,100,32455,56458,56,60,61,142,56,13,84,3,0,63,55,98,37,0,3,23,50,0,
118541,Marymount California University,21,192,84,17045,55822,,,54,735,49,68,12,20,0,33,24,123,42,5,6,11,74,0,
192864,Marymount Manhattan College,21,412,98,17484,58110,72,80,68,2063,78,24,72,3,1,48,35,403,186,10,17,12,70,0,
167288,Massachusetts College of Liberal Arts,21,288,100,7761,34910,68,77,70,1277,62,72,27,0,0,56,39,349,117,41,48,32,45,0,
198950,Meredith College,21,386,100,22203,50796,,63,80,1603,100,85,9,6,0,61,51,464,162,39,50,23,48,0,
230959,Middlebury College,21,640,53,48613,71980,18,16,96,2564,53,4,85,1,10,91,86,1182,336,43,62,38,42,0,
175980,Millsaps College,21,163,100,31896,56631,58,60,79,799,52,44,47,5,4,64,68,286,93,0,5,24,26,0,
147341,Monmouth College,21,196,100,30968,49590,66,73,73,914,50,71,27,2,0,57,47,281,98,17,24,11,11,0,
214157,Moravian College,21,547,100,28466,60164,73,73,81,2139,61,69,30,1,0,68,67,500,212,5,12,49,43,0,
140553,Morehouse College,21,392,95,20025,48500,58,,75,2206,0,23,76,1,0,54,38,367,155,6,6,12,3,0,
166939,Mount Holyoke College,21,538,75,34470,66558,,51,92,2208,100,17,55,28,0,83,77,932,229,56,78,36,51,0,
214175,Muhlenberg College,21,568,95,33530,67535,58,65,88,2340,61,27,71,2,0,82,81,631,236,24,25,20,56,0,
262129,New College of Florida,21,213,99,12529,43678,78,76,76,808,62,77,19,3,2,60,54,318,100,4,12,82,13,0,
440396,New Saint Andrews College,21,24,,,,95,100,86,160,54,28,66,6,0,64,57,,,,,99,1,0,
204501,Oberlin College,21,665,88,31024,74636,34,38,89,2785,57,6,81,13,0,86,72,1030,336,29,74,62,16,0,
120254,Occidental College,21,474,75,38770,74132,37,38,90,1930,58,37,56,7,0,85,76,710,212,33,52,19,62,0,
140696,Oglethorpe University,21,217,99,30402,55250,66,59,80,1264,57,81,17,2,0,54,34,190,80,9,14,11,78,0,
204909,Ohio Wesleyan University,21,299,100,33663,61910,65,73,77,1561,54,53,36,8,2,67,61,459,183,27,43,32,40,0,
457484,Pacific Rim Christian University,21,22,72,6143,21877,73,67,60,126,43,73,14,5,9,29,16,17,6,3,4,98,0,0,
214731,Pennsylvania State University-Penn State Brandywine,21,186,,,41226,89,85,72,1351,40,89,9,2,0,47,18,196,94,3,5,40,27,0,
167455,Pine Manor College,21,33,100,30529,48290,46,36,64,373,43,56,44,0,0,38,23,124,52,13,18,40,47,0,
121257,Pitzer College,21,264,48,36748,72900,17,12,91,1072,56,34,58,8,0,84,83,334,105,37,41,29,62,0,
121345,Pomona College,21,392,61,53449,71996,9,7,97,1573,51,26,74,0,0,94,92,767,228,61,65,29,62,0,
218539,Presbyterian College,21,199,100,32902,52910,64,73,76,1080,53,72,26,2,0,66,59,329,111,4,10,19,64,0,
148016,Principia College,21,97,99,28186,43080,93,91,88,447,45,11,72,17,0,75,60,312,72,16,22,29,67,0,
455770,Providence Christian College,21,22,100,21865,45929,85,91,77,171,45,80,17,0,3,33,56,36,12,0,1,23,51,0,
207157,Randall University,21,27,96,9526,27656,51,50,41,295,41,73,26,0,1,23,39,45,23,2,3,97,1,0,
233301,Randolph College,21,119,100,30563,57115,83,88,65,600,63,75,23,1,1,59,54,262,68,5,13,17,63,0,
233295,Randolph-Macon College,21,332,100,27640,55860,67,67,86,1488,53,77,20,3,0,66,52,400,127,29,39,15,55,0,
209922,Reed College,21,343,60,41067,73207,34,36,88,1483,54,6,84,10,0,81,66,525,170,24,48,22,63,0,
221351,Rhodes College,21,492,96,32069,63040,40,48,90,2008,56,28,68,4,0,85,76,531,198,12,18,57,17,0,
239628,Ripon College,21,157,99,31602,54558,66,71,79,807,53,70,29,0,0,68,57,174,65,6,9,36,40,0,
233426,Roanoke College,21,439,100,32655,61095,72,73,78,2014,58,54,44,2,0,67,57,473,187,9,13,11,16,0,
176318,Rust College,21,85,100,6349,16700,50,55,49,846,59,34,64,0,2,33,19,171,44,11,21,99,0,0,
183239,Saint Anselm College,21,430,99,24812,59294,81,73,91,2024,61,18,81,1,0,77,68,618,178,15,37,24,47,0,
174792,Saint Johns University,21,384,100,31031,57809,80,,87,1667,0,73,22,4,1,76,73,459,144,22,39,41,45,0,
152390,Saint Mary's College,21,339,100,29849,57300,,82,85,1485,99,31,67,1,0,78,71,439,172,16,25,33,37,0,
231059,Saint Michael's College,21,427,100,29229,59765,79,86,84,1694,54,12,86,2,0,77,73,391,141,18,28,34,38,0,
239716,Saint Norbert College,21,529,100,23167,50133,76,79,83,2132,59,79,21,0,0,71,67,586,149,29,39,36,34,0,
215798,Saint Vincent College,21,373,100,27804,50329,63,75,82,1676,45,74,25,0,0,77,62,403,132,14,26,97,0,0,
199607,Salem College,21,187,98,27132,46926,30,40,72,704,97,73,24,0,3,60,57,180,75,0,5,15,73,0,
195304,Sarah Lawrence College,21,310,86,31847,72670,56,56,80,1410,73,17,69,12,1,73,76,449,179,15,25,28,48,0,
123165,Scripps College,21,243,60,34054,73756,,24,92,1052,100,37,58,5,0,88,80,325,108,33,35,29,62,0,
237792,Shepherd University,21,638,96,7781,32403,87,92,69,3380,56,64,35,1,0,48,27,458,190,20,30,58,2,0,
154350,Simpson College,21,347,100,31789,52040,82,87,77,1396,53,81,19,0,0,70,53,301,126,1,5,12,17,0,
195526,Skidmore College,21,599,60,48141,71730,27,27,91,2612,61,31,57,12,0,86,85,980,320,28,47,71,17,0,
167835,Smith College,21,616,71,43796,72701,,31,93,2502,100,12,72,16,0,89,86,1173,375,103,147,28,50,0,
399911,Soka University of America,21,118,100,34557,48996,39,39,92,428,66,24,31,45,0,90,86,215,60,3,13,17,62,0,
233611,Southern Virginia University,21,149,100,7284,28261,62,76,81,1023,53,12,84,1,3,31,24,213,63,15,18,15,73,0,
228343,Southwestern University,21,330,100,28070,55970,43,47,81,1434,55,90,8,2,0,74,66,415,125,18,25,27,57,0,
141060,Spelman College,21,465,97,9831,52929,,39,91,2171,100,23,76,1,0,75,73,596,202,21,24,12,3,0,
102234,Spring Hill College,21,272,100,33391,57676,65,66,72,1254,61,41,54,5,0,59,45,231,101,5,9,34,49,0,
195216,St Lawrence University,21,573,100,36583,70630,41,52,89,2441,55,36,55,9,0,82,80,750,213,99,122,50,36,0,
174844,St Olaf College,21,697,98,32811,60590,49,50,91,3048,57,42,48,9,0,86,85,675,252,40,59,27,48,0,
163976,St. John's College,21,81,98,35333,67325,56,59,91,474,48,14,67,19,0,76,70,162,59,0,6,94,1,0,
245652,St. John's College,21,70,97,43129,67916,67,67,74,320,44,18,63,18,0,64,42,149,43,0,2,93,0,0,
163912,St. Mary's College of Maryland,21,392,95,9453,46140,78,81,82,1552,58,92,7,0,0,80,65,423,160,7,20,46,5,0,
231095,Sterling College,21,30,95,27755,50900,93,93,57,136,48,45,35,0,20,44,57,48,17,5,6,34,9,0,
230630,Stevens-Henager College,21,18,100,8929,,,,67,125,49,100,0,0,0,29,30,20,11,1,2,94,0,0,
102270,Stillman College,21,93,98,7220,25092,42,39,68,797,57,77,22,1,0,29,9,141,46,1,5,42,55,0,
167996,Stonehill College,21,603,100,24951,61246,62,76,87,2535,60,64,34,1,0,79,76,617,207,0,16,13,24,0,
196219,SUNY at Purchase College,21,905,84,8626,36762,59,69,81,4134,58,85,14,1,0,63,54,803,269,15,32,71,2,0,
216278,Susquehanna University,21,521,98,35078,62480,83,86,80,2393,57,62,36,2,0,71,70,514,183,5,14,12,55,0,
216287,Swarthmore College,21,395,63,51408,71167,11,8,97,1559,51,9,78,13,0,94,88,908,233,70,101,36,47,0,
233718,Sweet Briar College,21,26,99,11863,38100,,76,73,336,97,49,48,3,0,46,54,198,49,4,5,85,0,0,
102298,Talladega College,21,101,61,8481,23745,,,70,1208,49,22,77,0,1,24,10,167,53,0,3,11,88,0,
142294,The College of Idaho,21,180,100,22306,43349,51,48,79,946,52,53,27,0,20,70,46,256,97,5,7,23,10,0,
206589,The College of Wooster,21,450,99,35748,64000,50,58,87,2004,54,29,52,17,2,75,69,669,199,46,62,23,21,0,
454184,The King's College,21,113,99,23164,58425,51,56,79,554,66,9,86,6,0,51,47,99,35,0,1,7,92,0,
221519,The University of the South,21,389,98,25979,60950,65,66,89,1698,51,22,74,4,0,84,79,733,186,29,34,37,40,0,
233897,The University of Virginia's College at Wise,21,258,98,10444,42323,77,77,72,2065,62,85,13,1,0,48,22,354,138,0,5,37,58,0,
124292,Thomas Aquinas College,21,83,80,14665,36738,81,73,91,407,51,36,58,7,0,86,75,90,38,0,1,81,0,0,
183275,Thomas More College of Liberal Arts,21,25,96,16111,33500,42,57,77,90,58,26,74,0,0,30,75,20,8,0,0,51,0,0,
176406,Tougaloo College,21,113,100,9653,22840,96,91,74,726,68,70,28,2,0,35,24,276,67,0,1,31,10,0,
157818,Transylvania University,21,230,100,26418,52310,89,89,82,987,59,80,19,1,0,75,70,283,91,14,22,24,39,0,
130590,Trinity College,21,506,56,46132,74160,31,36,91,2182,50,15,69,15,0,84,80,687,247,67,86,17,23,0,
196866,Union College,21,514,85,31272,70860,37,40,95,2197,46,29,60,0,11,88,81,800,219,6,20,18,25,0,
128328,United States Air Force Academy,21,1003,,,,12,9,95,4336,27,7,91,2,0,85,80,317,209,7,35,52,48,0,
197036,United States Military Academy,21,1030,,,,12,10,97,4589,23,6,93,0,1,85,82,934,269,20,52,27,64,0,
164155,United States Naval Academy,21,1066,,,,9,8,97,4512,28,7,91,1,0,91,88,847,315,41,65,50,36,0,
483595,Universidad Ana G. Mendez-Online Campus,21,0,,,,,,,0,,,,,,,,21,8,0,0,0,85,0,
487296,University of Arizona-South,21,147,,,,,,,394,56,,,,,,,84,45,11,11,24,18,0,
161244,University of Maine at Machias,21,73,99,7687,27195,,,55,675,71,85,14,1,0,29,18,81,39,1,2,17,59,0,
174251,University of Minnesota-Morris,21,325,98,12038,26284,61,64,78,1552,57,77,20,3,0,66,50,364,134,4,11,21,67,0,
183071,University of New Hampshire at Manchester,21,194,89,8502,45506,92,94,84,727,53,96,4,0,0,41,41,115,63,4,7,43,48,0,
199111,University of North Carolina at Asheville,21,802,94,7144,36912,91,95,73,3743,57,84,15,1,0,63,38,721,253,38,44,24,66,0,
157535,University of Pikeville,21,182,100,17047,37750,,,60,1499,53,78,21,1,0,29,15,324,108,19,31,13,49,0,
215275,University of Pittsburgh-Greensburg,21,240,96,8880,40522,72,74,67,1508,54,92,7,1,0,35,25,181,80,0,0,55,30,0,
243151,University of Puerto Rico-Cayey,21,552,80,5668,,71,73,81,3107,65,100,0,0,0,48,8,439,120,9,27,93,0,0,
243212,University of Puerto Rico-Ponce,21,399,96,5429,,38,33,84,2828,58,100,0,0,0,47,10,346,111,7,18,81,0,0,
236328,University of Puget Sound,21,552,100,26508,65616,85,91,81,2364,60,26,73,1,0,76,70,681,260,34,51,37,41,0,
